                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.81891,                0.36823,                0.79541,                 0.9799,                0.95226,                0.98105,                0.79329,                0.75937,                0.35336,                0.79139,              0.0006008,              0.0006008,              0.0006008
                    108,                0.80966,                0.36664,                0.79805,                0.98232,                0.94918,                  0.981,                0.79721,                0.76292,                0.35798,                0.79259,              0.0005876,              0.0005876,              0.0005876
                    109,                0.81599,                0.37156,                0.79964,                0.97947,                0.95531,                0.98161,                0.79367,                 0.7851,                0.36868,                0.79372,              0.0005744,              0.0005744,              0.0005744
                    110,                0.80849,                0.37002,                0.79776,                0.98663,                0.94715,                0.98177,                0.79454,                0.76923,                0.36696,                0.79178,              0.0005612,              0.0005612,              0.0005612
                    111,                0.82125,                0.37191,                0.79786,                0.98498,                0.94255,                0.98177,                0.80171,                0.75924,                0.36327,                0.79127,               0.000548,               0.000548,               0.000548
                    112,                0.79731,                0.36361,                 0.7971,                0.98685,                 0.9461,                0.98189,                0.80347,                0.75459,                 0.3606,                0.79106,              0.0005348,              0.0005348,              0.0005348
                    113,                0.81213,                0.36892,                0.79897,                0.98248,                0.95018,                0.98305,                0.80865,                0.74243,                0.35889,                0.79066,              0.0005216,              0.0005216,              0.0005216
                    114,                 0.8335,                0.37343,                0.79969,                0.97959,                0.95637,                0.98139,                0.80411,                0.76082,                0.36194,                0.79182,              0.0005084,              0.0005084,              0.0005084
                    115,                0.81332,                0.37002,                0.79781,                0.98437,                 0.9538,                 0.9813,                0.80555,                0.73699,                0.35599,                0.79127,              0.0004952,              0.0004952,              0.0004952
                    116,                0.82238,                0.37078,                0.79776,                0.98587,                0.94507,                0.98078,                0.80305,                0.75626,                  0.367,                0.79206,               0.000482,               0.000482,               0.000482
                    117,                0.80075,                0.36642,                0.79651,                0.98072,                0.94713,                0.98176,                0.80193,                0.76365,                0.36476,                0.79063,              0.0004688,              0.0004688,              0.0004688
                    118,                0.79569,                0.36335,                0.79826,                0.97657,                0.95483,                0.98066,                0.80772,                0.74832,                0.36909,                0.79122,              0.0004556,              0.0004556,              0.0004556
                    119,                0.80781,                0.36549,                0.79431,                0.97818,                0.95226,                0.98072,                0.79143,                0.78979,                0.38552,                0.79178,              0.0004424,              0.0004424,              0.0004424
                    120,                 0.8212,                0.37254,                0.79834,                0.98253,                0.95272,                0.98117,                0.80819,                0.73712,                0.36454,                0.79036,              0.0004292,              0.0004292,              0.0004292
                    121,                0.78862,                0.35923,                0.79592,                0.97069,                0.95893,                0.98255,                0.81153,                0.74587,                 0.3624,                0.79032,               0.000416,               0.000416,               0.000416
                    122,                0.80038,                0.36259,                0.79687,                0.98334,                0.95431,                0.98224,                0.81261,                0.73799,                0.35787,                0.79025,              0.0004028,              0.0004028,              0.0004028
                    123,                0.80839,                0.36745,                 0.7964,                0.97867,                0.95277,                0.98307,                0.80614,                0.74657,                0.35851,                0.78982,              0.0003896,              0.0003896,              0.0003896
                    124,                0.78972,                0.36048,                0.79364,                0.98209,                0.95021,                0.98107,                0.81114,                0.73294,                0.35858,                0.78975,              0.0003764,              0.0003764,              0.0003764
                    125,                0.78307,                0.35906,                0.79375,                0.97954,                0.95739,                0.98191,                0.81318,                0.73837,                0.35336,                0.79014,              0.0003632,              0.0003632,              0.0003632
                    126,                0.78613,                 0.3582,                0.79643,                0.98104,                0.95604,                0.98183,                0.81406,                0.73583,                0.36247,                0.78951,                0.00035,                0.00035,                0.00035
                    127,                0.79006,                0.36058,                0.79537,                  0.982,                0.95223,                 0.9817,                 0.8098,                0.72849,                0.35647,                0.78898,              0.0003368,              0.0003368,              0.0003368
                    128,                0.77674,                0.35602,                0.79551,                0.97841,                0.95381,                0.98129,                0.80831,                0.75289,                0.35515,                0.79067,              0.0003236,              0.0003236,              0.0003236
                    129,                0.77207,                0.35396,                 0.7935,                0.97658,                0.95585,                0.98315,                0.81495,                0.72362,                0.35185,                0.78872,              0.0003104,              0.0003104,              0.0003104
                    130,                0.78277,                0.35624,                0.79491,                0.97636,                0.95404,                0.98156,                0.80008,                0.76076,                0.35272,                0.79033,              0.0002972,              0.0002972,              0.0002972
                    131,                0.77756,                0.35557,                0.79547,                0.97886,                 0.9509,                0.98159,                0.81061,                0.73396,                0.35318,                 0.7897,               0.000284,               0.000284,               0.000284
                    132,                0.78689,                 0.3587,                0.79621,                0.98383,                0.95431,                0.98161,                0.81868,                0.72298,                0.34662,                0.78971,              0.0002708,              0.0002708,              0.0002708
                    133,                0.78014,                0.35515,                0.79365,                0.98615,                0.95072,                 0.9824,                0.81905,                0.72155,                0.34318,                0.78949,              0.0002576,              0.0002576,              0.0002576
                    134,                0.78168,                0.35733,                0.79458,                0.98461,                0.95218,                 0.9822,                0.82042,                0.71417,                0.35177,                0.78908,              0.0002444,              0.0002444,              0.0002444
                    135,                0.76768,                0.35129,                0.79248,                  0.978,                0.95852,                  0.982,                0.81648,                0.71532,                 0.3523,                0.78912,              0.0002312,              0.0002312,              0.0002312
                    136,                0.76795,                0.35191,                0.79398,                0.97777,                0.95585,                0.98158,                0.81779,                0.70728,                0.34643,                0.78869,               0.000218,               0.000218,               0.000218
                    137,                0.76672,                0.35013,                0.79445,                0.97917,                0.95329,                 0.9818,                0.82433,                0.69403,                0.34271,                 0.7882,              0.0002048,              0.0002048,              0.0002048
                    138,                0.76372,                0.34823,                 0.7924,                  0.984,                 0.9538,                0.98194,                0.82257,                0.69992,                0.34334,                0.78824,              0.0001916,              0.0001916,              0.0001916
                    139,                0.76413,                0.35133,                0.79379,                0.98806,                0.94713,                0.98161,                0.81987,                0.70871,                0.34403,                 0.7885,              0.0001784,              0.0001784,              0.0001784
                    140,                0.76257,                 0.3479,                0.79361,                0.98299,                0.94867,                0.98119,                0.81998,                0.70139,                0.34182,                 0.7889,              0.0001652,              0.0001652,              0.0001652
                    141,                 0.7154,                0.34006,                0.79143,                0.97895,                0.95482,                0.98181,                0.81542,                0.72571,                0.35333,                0.78917,               0.000152,               0.000152,               0.000152
                    142,                0.69878,                 0.3339,                0.79221,                0.98624,                0.94815,                0.98183,                0.81972,                0.70411,                0.34565,                0.78843,              0.0001388,              0.0001388,              0.0001388
                    143,                0.69142,                 0.3307,                0.79269,                0.98512,                0.95186,                0.98218,                0.82262,                0.70431,                0.34519,                0.78893,              0.0001256,              0.0001256,              0.0001256
                    144,                0.68469,                0.32828,                0.78954,                0.98564,                0.95125,                 0.9819,                0.82639,                0.68836,                0.33777,                0.78774,              0.0001124,              0.0001124,              0.0001124
                    145,                0.68539,                0.32669,                0.79257,                0.98674,                0.94713,                0.98213,                0.82878,                0.68828,                0.34355,                0.78762,               9.92e-05,               9.92e-05,               9.92e-05
                    146,                0.68201,                0.32615,                0.79231,                0.98339,                0.95123,                0.98222,                 0.8268,                0.69106,                0.34027,                0.78784,                8.6e-05,                8.6e-05,                8.6e-05
                    147,                0.68471,                0.32741,                 0.7921,                0.98788,                0.95123,                0.98226,                0.82887,                0.68311,                0.33724,                0.78774,               7.28e-05,               7.28e-05,               7.28e-05
                    148,                0.68036,                0.32555,                0.78993,                0.98354,                0.95107,                0.98212,                0.82852,                 0.6882,                0.33683,                0.78773,               5.96e-05,               5.96e-05,               5.96e-05
                    149,                0.67193,                0.32332,                0.79096,                0.98435,                0.95021,                0.98205,                 0.8281,                0.68043,                0.33619,                0.78804,               4.64e-05,               4.64e-05,               4.64e-05
                    150,                  0.675,                0.32282,                 0.7922,                0.98305,                 0.9526,                0.98161,                0.82519,                0.68881,                0.33472,                 0.7886,               3.32e-05,               3.32e-05,               3.32e-05
