               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.026738,            0.015831,           0.0012179,             0.75488,             0.66008,             0.64768,             0.47213,            0.050322,            0.025014,           0.0078996,            0.001981,            0.001981,            0.001981
                  83,            0.025343,            0.016586,           0.0013262,             0.69025,             0.69293,             0.64411,             0.44432,            0.049803,            0.025535,           0.0077912,            0.001882,            0.001882,            0.001882
                  84,            0.024018,            0.015848,           0.0011676,             0.71729,             0.68722,             0.64298,             0.45605,            0.050603,            0.026067,           0.0081417,            0.001783,            0.001783,            0.001783
                  85,             0.02585,            0.015438,           0.0011815,             0.69565,             0.66526,             0.63726,             0.42836,            0.051524,            0.026142,           0.0087294,            0.001684,            0.001684,            0.001684
                  86,            0.024228,            0.016321,          0.00098464,             0.69597,             0.69769,             0.64135,              0.4468,            0.051489,             0.02622,           0.0089177,            0.001585,            0.001585,            0.001585
                  87,            0.025094,            0.016466,           0.0013141,             0.69345,             0.71971,             0.64416,             0.44898,            0.052366,            0.026313,            0.008879,            0.001486,            0.001486,            0.001486
                  88,            0.024478,            0.015468,           0.0012862,             0.71907,             0.71875,             0.64681,             0.46549,            0.051607,            0.026374,           0.0088076,            0.001387,            0.001387,            0.001387
                  89,            0.025621,            0.016251,           0.0011499,             0.71576,              0.6997,             0.65058,              0.4687,            0.052077,            0.025986,           0.0088563,            0.001288,            0.001288,            0.001288
                  90,            0.024218,            0.017187,           0.0017769,              0.7382,             0.70312,             0.65154,             0.47632,            0.052364,             0.02597,           0.0087991,            0.001189,            0.001189,            0.001189
                  91,            0.023994,            0.014591,           0.0009669,             0.72692,             0.72064,             0.64852,             0.47109,            0.052224,            0.025861,             0.00882,             0.00109,             0.00109,             0.00109
                  92,            0.024323,            0.016117,           0.0011624,              0.7335,             0.69705,             0.65406,             0.46231,            0.052338,            0.025834,           0.0086363,            0.000991,            0.000991,            0.000991
                  93,            0.024344,             0.01475,           0.0011093,             0.71096,             0.70479,              0.6487,             0.45889,            0.052449,            0.025704,            0.008598,            0.000892,            0.000892,            0.000892
                  94,            0.023916,            0.015999,           0.0010134,             0.72333,             0.70092,             0.64697,             0.46223,            0.052381,            0.025808,           0.0086372,            0.000793,            0.000793,            0.000793
                  95,            0.024071,             0.01578,           0.0010648,             0.70989,             0.71408,             0.64443,             0.45289,            0.051625,            0.025923,           0.0084805,            0.000694,            0.000694,            0.000694
                  96,            0.023893,            0.014528,          0.00097109,             0.69994,             0.70312,             0.64116,             0.45729,            0.051207,              0.0259,           0.0083289,            0.000595,            0.000595,            0.000595
                  97,             0.02352,             0.01598,           0.0011321,             0.70695,             0.70856,             0.64823,             0.46191,             0.05177,            0.025691,           0.0084856,            0.000496,            0.000496,            0.000496
                  98,             0.02371,            0.015933,           0.0011975,             0.72117,             0.71979,              0.6526,             0.46522,            0.051634,            0.025733,           0.0084691,            0.000397,            0.000397,            0.000397
                  99,            0.023608,            0.016189,           0.0010516,             0.72469,              0.7182,             0.65244,             0.46139,             0.05158,            0.025733,           0.0085425,            0.000298,            0.000298,            0.000298
